forecast_source,question_type,n_questions,n_versions,mean_brier_score,median_brier_score,std_brier_score,q1_brier_score,q3_brier_score,mean_log_score,median_log_score,std_log_score,q1_log_score,q3_log_score,mean_accuracy,median_accuracy,std_accuracy,q1_accuracy,q3_accuracy,mean_accuracy_error,median_accuracy_error,std_accuracy_error,q1_accuracy_error,q3_accuracy_error,mean_rps,median_rps,std_rps,q1_rps,q3_rps,mean_top_probability,median_top_probability,std_top_probability,q1_top_probability,q3_top_probability,mean_normalized_entropy,median_normalized_entropy,std_normalized_entropy,q1_normalized_entropy,q3_normalized_entropy,mean_true_probability,median_true_probability,std_true_probability,q1_true_probability,q3_true_probability
human,binary,2,1,0.74725,0.74725,1.0400013400606751,0.379554,1.114946,1.026703695165365,1.026703695165365,1.3386629514395165,0.5534148698223249,1.499992520508405,0.5,0.5,0.7071067811865476,0.25,0.75,0.5,0.5,0.7071067811865476,0.25,0.75,0.373625,0.373625,0.5200006700303376,0.189777,0.557473,0.892,0.892,0.043840620433565985,0.8765000000000001,0.9075,0.4865665842231834,0.4865665842231834,0.13441720100910506,0.4390429270523567,0.5340902413940101,0.531,0.531,0.5543717164502533,0.335,0.7270000000000001
human,categorical,1,1,0.6374753854869242,0.6374753854869242,0.0,0.6374753854869242,0.6374753854869242,1.165447501492752,1.165447501492752,0.0,1.165447501492752,1.165447501492752,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.21714181330265608,0.21714181330265608,0.0,0.21714181330265608,0.21714181330265608,0.3555787278415016,0.3555787278415016,0.0,0.3555787278415016,0.3555787278415016,0.8213224832866709,0.8213224832866709,0.0,0.8213224832866709,0.8213224832866709,0.3117831074035453,0.3117831074035453,0.0,0.3117831074035453,0.3117831074035453
human,range,8,2,1.033164673648975,1.0011034465609256,0.7612729706888028,0.46374424820271254,1.850367915844839,2.5596065765542506,1.6720867062828098,2.396792306686146,0.6714661144986211,5.4961431098779565,0.4166666666666667,0.0,0.5149286505444373,0.0,1.0,0.5833333333333334,1.0,0.5149286505444373,0.0,1.0,0.41013107145150407,0.24437062738361626,0.41566379042805335,0.07665603302683431,0.9296904667981591,0.7375653877540276,0.8792307692307693,0.2602224918468865,0.5014927206830887,0.9748237663645518,0.4020001422884332,0.29697538310276,0.315100384442736,0.09944818790950914,0.5987221502898151,0.3255938736454018,0.19096448016593207,0.36282061233900276,0.0041025641025641026,0.5109589041095891
llm_baseline,binary,2,1,1.0,1.0,1.4142135623730951,0.5,1.5,17.269388197455342,17.269388197455342,24.422603002727204,8.634694098727673,25.904082296183013,0.5,0.5,0.7071067811865476,0.25,0.75,0.5,0.5,0.7071067811865476,0.25,0.75,0.5,0.5,0.7071067811865476,0.25,0.75,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.5,0.5,0.7071067811865476,0.25,0.75
llm_baseline,categorical,1,1,1.1949999999999998,1.1949999999999998,0.0,1.1949999999999998,1.1949999999999998,2.3025850929940455,2.3025850929940455,0.0,2.3025850929940455,2.3025850929940455,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.4875,0.4875,0.0,0.4875,0.4875,0.6,0.6,0.0,0.6,0.6,0.7237824896619229,0.7237824896619229,0.0,0.7237824896619229,0.7237824896619229,0.1,0.1,0.0,0.1,0.1
llm_baseline,range,8,2,1.3333333333333333,2.0,0.9847319278346619,0.0,2.0,23.025850929940457,34.538776394910684,17.005717932205357,9.992007221626415e-16,34.538776394910684,0.3333333333333333,0.0,0.49236596391733095,0.0,1.0,0.6666666666666666,1.0,0.49236596391733095,0.0,1.0,0.47222222222222215,0.6666666666666666,0.38816671762710503,0.0,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.3333333333333333,0.0,0.49236596391733095,0.0,1.0
perplexity,binary,2,1,0.0,0.0,0.0,0.0,0.0,9.992007221626415e-16,9.992007221626415e-16,0.0,9.992007221626415e-16,9.992007221626415e-16,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,1.0,1.0
perplexity,categorical,1,1,0.84,0.84,0.0,0.84,0.84,1.6094379124341003,1.6094379124341003,0.0,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2775,0.2775,0.0,0.2775,0.2775,0.35,0.35,0.0,0.35,0.35,0.8738509157541657,0.8738509157541657,0.0,0.8738509157541657,0.8738509157541657,0.2,0.2,0.0,0.2,0.2
perplexity,range,8,2,0.3799166666666666,0.0284,0.6179865633039624,0.011549999999999996,0.43875,0.7690822962546006,0.14517615050382993,1.2057077368532925,0.07902038674336996,0.8573992140459634,0.75,1.0,0.45226701686664544,0.75,1.0,0.25,0.0,0.45226701686664544,0.0,0.25,0.09390972222222223,0.006291666666666669,0.1271332090817776,0.0027500000000000007,0.15666666666666668,0.7999999999999999,0.89,0.21379684494653076,0.6,0.9775,0.37928872413800113,0.30485326491701514,0.331724163301922,0.08322777481995408,0.745234285366414,0.6708333333333334,0.865,0.3670634905034905,0.4875,0.925
