question_id,topic,question_type,forecast_source,forecast_version,forecast_date,resolved_option,brier_score,log_score,accuracy,accuracy_error,rps,top_probability,normalized_entropy,true_probability
q7,Mpox (World),range,perplexity,1,2025-06-03,"126,001-128,500",1.0499999999999998,1.8971199848858813,0,1,0.2816666666666667,0.45,0.8375716232049935,0.15
q7,Mpox (World),range,perplexity,2,2026-06-30,"126,001-128,500",1.0499999999999998,1.8971199848858813,0,1,0.2816666666666667,0.45,0.8375716232049935,0.15
q8,Mpox (World),range,human,2,2026-06-30,"131,001+",0.4476622996226348,0.7647935332805751,1,0,0.10327533041944285,0.46543001686340657,0.7847620857839017,0.46543001686340657
q8,Mpox (World),range,llm_baseline,2,2026-06-30,"131,001+",0.0,9.992007221626415e-16,1,0,0.0,1.0,-0.0,1.0
q8,Mpox (World),range,perplexity,2,2026-06-30,"131,001+",0.0,9.992007221626415e-16,1,0,0.0,1.0,-0.0,1.0
q9,Ebola,range,human,1,2025-06-03,11+,0.0009674975584377677,0.025498576768595627,1,0,0.00023426827672864132,0.9748237663645518,0.09944818790950914,0.9748237663645518
q9,Ebola,range,human,2,2026-06-30,11+,0.0009674975584377677,0.025498576768595627,1,0,0.00023426827672864132,0.9748237663645518,0.09944818790950914,0.9748237663645518
q9,Ebola,range,llm_baseline,1,2025-06-03,11+,2.0,34.538776394910684,0,1,1.0,1.0,-0.0,0.0
q9,Ebola,range,llm_baseline,2,2026-06-30,11+,2.0,34.538776394910684,0,1,1.0,1.0,-0.0,0.0
q9,Ebola,range,perplexity,1,2025-06-03,11+,0.015399999999999995,0.10536051565782628,1,0,0.0036666666666666675,0.9,0.2923367792669926,0.9
q9,Ebola,range,perplexity,2,2026-06-30,11+,0.015399999999999995,0.10536051565782628,1,0,0.0036666666666666675,0.9,0.2923367792669926,0.9
